,Company Name,Recruitment Type,Company  Reqirements
0,Intellicon Pvt Ltd - Gandhinagar,"On Campus
Through GTU ITAP Cell
","Diploma/BE (EC) with good communication and computer skills,ccountable for stock planning and stock forecast"
1,Just Green,On Campus,"Web development,Mobile application development (Android/iOS/ React native)
,ChatBot (Artificial intelligence), Javascript"
2,WhiteLion,On Campus,"Excellent knowledge of MS Office.,Highly motivated and target driven., Excellent selling, communication and negotiation skills., Prioritizing, time management and organizational skills., Ability to create and deliver presentations tailored to the audience needs., Relationship management skills and openness to feedback.,Preferred localise., BBA/MBA/BE degree or equivalent."
3,D-mart,On Campus,"BE Electrical with no active backlogs
60% throughout (10th, 12th & BE Aggregate)
MALE CANDIDATES ONLY

Under Graduate Qualification BE / B.Tech (Electrical) Minimum Marks 60% No Backlogs Accepted"
4,National Group,On Campus,English must be good
5,Reliance Jio Infocomm Limited,On Campus," B.E. / B. Tech (Computer Science / Information Technology / Electronics & Telecommunications)

- 2017 batch with First class in 10th, 12th and Engineering(min aggregate-60%). No year drops during Engineering."
6,UNIVERSAL EDUCATION,On Campus,Abroad Admission Assistant & Counsellor
7,"SMIS
(Internship)
Only 3rd Year & Final Year",On Campus,Abroad Admission Assistant & Counsellor
8,AXIS Securities Ltd,On Campus,"Team player,learn the new things within a short time span,good communication & inter-personal skills"
9,Veena Computers,On Campus,"Textile Technicians ,dyeing and printing textiles,evaluating, identifying and selecting fabrics/products from suppliers,checking products for suitability and testing for performance under various condition,Data analysis and MIS preparation."
10,NatRIX Software Pvt.Ltd,On Campus," Good communication skill,  Teamwork,Negotiation & persuasion,Problem solving, Ability to work under pressure,  Perseverance and motivation,.Net Developer ,MySQL, MongoDB, SQLite, UI, Ajax, jQuery, and MySQL,APIs, Unix/Linux, and MVC Framework Architecture,JavaScript, CSS, and HTML.  "
11,"ATLUZ      
(AIW)",On Campus," programing and should have very well understood the OOP’s concepts with reference to dot net technologies,logical reasoning ,Microsoft technologies with C# and MS SQL,HTML and JavaScript"
12,Hexxa Geo Systems,On Campus," Pre-sales engineer. Sales engineer,Service enginee"
13,YOLOdestin Networking Private Limited (Internship),"On Campus
Internship","Buisness development,Marketing,Administartion,Graphic designer,Web Developer"
14,"9spl
13-07-2017",On Campus,Web Portals & Mobile Apps
15,Fairdeal Filaments Ltd.,On Campus,"Fabric Design & devp.,Lab Assistant-yarn Dyeing,Loom Technician,Trainee loom Technician"
16,Orail - OptigoApps,On Campus," ASP.NET, C# Web Application Developer,Application Tester / Quality Assurance,Project Co-ordinator,UI DESIGNER   - Jquery, css, HTML ,Creative Designer, Good Communication, business development ,Software Customer Service"
17,"L&T, Hazira",On Campus/ Pooled Campus,"Awareness of Supply-chain,Business Support"
18,Mercury Management & Technical Services Pvt. Ltd.,On Campus,"leadership qualities,excellent Planning Skills
,high level analytical skills,convincing communicator,making and problem solving capabilities,Sigma, Kaizen"
19,"McDonald's India
Job Location
Surat
Part Time",On Campus,"12th pass,Works as a team member"
20,BlissQuants,On Campus,"Mysql ,PHP, JavaScript, CSS, Bootstrap, HTML,  Java, C, C++, Excel and VB programming,"
21,"Firstnaukri
(Vasundhara Vision)",Through Placement Agency,"Ajax, jQuery, and MySQL,APIs, Unix/Linux, and MVC Framework Architecture,JavaScript, CSS, and HTML.,iOS Application Developer"
22,skillVentory,On Campus,"xplore breadth as well as depth of technologies on web, desktop, mobile, server, cloud, RDBMS, NoSQL.
 Develop an understanding of Technology in the domain of ECommerce, Investment Banking, BFSI, Analytics, Security, Telecom, etc
 Research Technologies / potential clients / industry trends
 Comprehend and / or Negotiate client requirements
 Plan and execute sourcing strategy
 Proactively target relevant skills and screen
 Actively maintain a network of resources for future requirements
 Engage contact to create lasting relationships
 Focus on client needs– disciplined attention to understanding client needs, and using insights gained through relationship to deliver qualified candidates
 Deliver Results within SLA– passion to win / ability to develop goals, produce
 Improvise on strategies making necessary adjustments to accomplish the goals."
23,CatalyseR,On Campus," Physics, Chemistry, Mathematics, Social Science & Biology,Faculty position"
24,"VURO
(campus Ambassador Program)",On Campus,"leadership ,interpersonal skills,proactive, creative and enthusiastic,"
25,Alphadecimal Networks Pvt Ltd.,On Campus,"Candidate will be responsible for Telecom Field activities, 4G Installation, Network Commissioning, EMF Testing, Site Survey, Quality Check, Telecom Measurement, etc.
- Must be Honest and Hardworking
- Should be physically fit
- Should be ready to Travel and stay away from home
- Should be able to carry heavy testing Kit along with him
- Should be Sincere and Punctual
- Must be ready to climb Mobile tower for Telecom work
- Should be ready to travel across India as per project requirement
- Should able to work under pressure
- Good analytical and communications skill "
26,IBL Infotech,On Campus,Android & iOS Developers
27,Suman Trades Pvt Ltd,On Campus,Management Trainee
28,SSM Infotech,On Campus,"CRM Executive,  Proficient in English Language
         Excellent communication skills & Presentation Skills
         Decent professional  personality
         Knowledge of Markets and Industries
         Positive attitude and commitment towards work
         Enthusiastic"
29,"Casepoint Pvt. Ltd
(formerly METATREE SYSTEMS PVT. LTD.)",On Campus,"
ASP.NET & MVC (C# and VB.NET)
Web API
MS SQL server, PostgreSQL
MongoDB, Redis, Memcache
Elastic Search, Lucene
Data Mining, ML, AI, Analytics
Ext.net
Kendo UI
JavaScript, CSS, HTML5"
30,Torrent Power,On Campus,"SSC (10th Std.) & HSC (12th Std.) pass out with first class (60%  & above) in both the exam.

2] Graduation (BE - Civil)  pass out with aggregate >=55% & above (no live backlog)"
31,"Sahajanand Technologies (P) Ltd.,Surat",On Campus,"Ajax, jQuery, and MySQL,APIs, Unix/Linux, and MVC Framework Architecture,JavaScript, CSS, and HTML., Magento  , .Net developer                                                                          ,Delphi developer (Scientific application)    "
32,"Essar Projects
Big Indian MNC",On Campus,"CIVIL POST GRADUATE ENGINEER TRAINEE,Structural design & detailed engineering,Planning, monitoring, progress reporting and controlling project engineering"
33,MEMIGHTY,On Campus,"Ajax, jQuery, and MySQL,APIs, Unix/Linux, and MVC Framework Architecture,JavaScript, CSS, and HTML. 
MySQL, MongoDB, SQLite, UI
swift,Xcode,UI/UX
Junior Incubation Engineer
Executive Marketing Manager"
34,"Axelor Technologies India Pvt. Ltd, Surat",On Campus,"ava Technologies (Java EE, Spring, Guice, and related)
 Web Technologies (node, angular, react, backbone)
 Database Technologies (PostgreSQL, MySQL, mongodb, Hibernate/JPA)
 Linux, Eclipse, Git
"
35,"General Meditech Devices Pvt. Ltd.
Gandhinagar",On Campus," c, c++,  core java, multi threading, swing, collection api , j2ee  is desirable.

        Application design tools/frameworks, e.g. Spring/struts, Hibernate, Eclipse and Net Beans etc.

        knowledge of OOPs Concept , c++, image processing, compile and debug dll using Visual Studio.

        Basic fundamentals of apache server, SQL/PlSql.

        Great problem solving skills and ability to learn new technologies"
36,"VPN Infotech, Surat",On Campus,"PHP, Ios developer, Android developer"
37,"Pistalix software solutions,Surat",On Campus,"Backend Developer, Android, iOS and PHP developer."
38,"Shantai Technologies Ltd., Surat
(Marketing Job)",On Campus," Marketing Executive,Excellent Communication Skills, Convincing skills, "
39,"Uffizio
Uffizio Gmbh, Berlin Germany",On Campus,"Required skills for Java Programmer
Thorough Knowledge of core Java, JavaScriptP Servlet & basic knowledge of JQuery & Java script & Restful Web services.
 
       Required skills for MySQL, MongoDB, SQLite, UI
Having  knowledge of Android SDK & Core Java.
 
       Required skills for swift,Xcode,UI/UX.
 Having knowledge of Swift, objective C."
40,Pacifique Investments,On Campus,"salse,relationship executive"
41,"National Infotech, Surat.",On Campus,"developing Microcontroller based system, electronics and electrical system designing."
42,"Leading Textile industry @ Ankleshwar  
Through shine.com","On Campus
Through Shine.com
",Shift Executive(Winding Department)
43,Greeks Lab Solution,On Campus,"Basic Programming knowledge
                             Object Oriented Programming
                              Passionate about Games,Sketching 
                              Adobe Photoshop
                              Adobe Illustrator ,Game Developer,Game Designer"
44,Mighty Home,On Campus,"Marketing Executive , Android/iOS/Ajax, jQuery, and MySQL,APIs, Unix/Linux, and MVC Framework Architecture,JavaScript, CSS, and HTML.s"
45,"Samsung, 
Through Cocubes","On Campus
","Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincation"
46,"Depronto, Mumbai",On Campus,"AJAX,MYSQL,MSSQL,JQuery,C,C++,Java,PHP"
47,"JB Solution
Through SVNIT Surat","On Campus
","JavaScript Framework – KnockOutJavaScript, Ionic, AngularJavaScript, CasperJavaScript, NodeJavaScript

       Ajax, jQuery, and MySQL,APIs, Unix/Linux, and MVC Framework Architecture,JavaScript, CSS, and HTML. – Core PHP, WordPress, CodeIgniter, Laravel

  Microosft.NET Developer"
48,"Marvel Structural Consultants, Chennai","On Campus
Internship
","Marvel Structural Consultants,"
49,Startup HR Solution,On Campus,"MySQL, MongoDB, SQLite, UI,Core Java and Android SDK, C and C++ (Good to have)
 Familiar with XML and JavaScriptON Parsing
 Familiar with SQLite Database"
50,"AGS Transat 
Through Co-Cubes, Placement Agency","Through Placement Agency
Pooled Campus
SAL College, Ahmedabad"," 55% in 10th, 12th"
51,"L & T Heavy Engineering, Surat
(Third Party Contract – It is for another Business Division than the recently concluded Drive)",On Campus,Application Support Engineer
52,Estern Techno Solution,On Campus,"Web Developer (PHP) 

	Graphic Designer (Photoshop or CoralDraw)

	Web Designer (Boostrap) 

	MySQL, MongoDB, SQLite, UI (Java) 

iOS Developer. (Objective-C / SWIFT) "
53,Aureate Lab,On Campus,"written and oral communication skills,object oriented PHP programming, MVC design patterns,databases such as MySQL "
54,Swish,On Campus,"PHP, js, angular js, ajax, Mysql, .NET"
55,L & T,On Campus,"SQL Database Knowledge,.Net ,Interfacing Analog & Digital I/Os with PC,Serials Communication"
56,"Rustomjee Global Career Academy, Mumbai",On campus/ Pooled Campus SAL College,Graduate Training Program/ Research Associate      
57,Ebizz Infotech,On campus,"MySQL, MongoDB, SQLite, UI
Mobile Application Designer (UI/UX)
QA Tester
Web Developer
 Marketing for Application & Web
 Research and Development executive,Good English communication skill
       Self-driven person
       Team Player,HTML5, CSS3, WordPress, Magento, PHP, Joomla"
58,Diversity Infotech,"Pooled Campus
SASIT"," Strong Fundamentals,Strong English, Hindi & Gujarati Communication Skills,MySQL, MongoDB, SQLite, UI 
	For Ajax, jQuery, and MySQL,APIs, Unix/Linux, and MVC Framework Architecture,JavaScript, CSS, and HTML. 
	For Graphics Designer"
59,Keniz,On Campus," good knowledge in electronics hardware ,"
60,Infinium Solutionz,On Campus,".NET, MVC technology Jr. Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincation,Jr. System Integrator"
61,Humble School Private Limited,On Campus,"Mastery of JavaScript, including all ES6 features
	A high degree of comfort in functional programming
	Familiarity with HTML, CSS and some CSS framework
	Some knowledge and experience of cloud-based DevOps
	Some knowledge and experience of Java, Swift or Objective-C
	Ability to quickly learn and experiment with new languages and frameworks
	Great attention to detail.
Optional Technical skills
Good knowledge and experience of the React JavaScript library shall be a real plus.
Knowledge of Ruby and Rails.
Knowledge or React Native"
62,Narola Infotech (P) Ltd,On Campus,"Dot Net Developer Freshers
	Ruby on Rails Developer Freshers 
	Ajax, jQuery, and MySQL,APIs, Unix/Linux, and MVC Framework Architecture,JavaScript, CSS, and HTML. Freshers 
	Mobile Developer Fresher 
	Game Developer Freshers "
63,Vision Infotech,On Campus,"Good command over ASP.NET MVC
Familiar in using Javascript and Jquery
Core PHP knowledge.
Good Communication Skills.
Wordpress plugin developmentKnowledge of LINQ (optional), MS SQL SERVER "
64,EPIC Research,On Campus,"55% through academics,Associate Financial Consultant"
65,MVIX,On Campus," Core JAVA,JavaScriptP,Servlet,Advanced Java Script,jQuery, HTML5, CSS3,Web Service,Angular JavaScript,Unix Shell scripting"
66,Petals India Inc.,On Campus,"Good computing skills (Microsoft office essential),eview , monitor, control and follow up
Team working skills

Forward planning skills"
67,"STAAH Hotel Software Pvt. Ltd.
(2004 CO Student of SCET)",On Campus,"PHP, CGI , PERL, HTML5 , CSS3 , Jquery."
68,L&T Heavy Engineering,On Campus," .Net/Java
  SQL Programming
   Android Programming (Optional)
   Integration with Digital Devices (Additional)"
69,TCS Software Testing Contest,On Campus Student Contest,"Appium, Selenium and Jmete,mobile testing, agile assurance, DevOps, "
70,"Vortex,
Surat",On Campus,Trainee Engineers
71,"Shell
(Through Placement Agency)",Through Placement Agency- ,"Strong knowledge of Database concepts ,Functional knowledge in Data structures and Structured programming,Proficient in SQL programming,understanding new technologies,problem-solving, Logical reasoning and Analytical skills,Strong oral communication skills,Strong interpersonal skills,Self-motivated "
72,Cadence,On Campus,"Good working knowledge of various verification concepts such as Verification architecture, coverage, checkers, test plan etc.
Strong in building Verification environments based on UVM, System Verilog
Should have participated in building IP/full chip verification environments, verification planning and closure process.
Domain expertise in NVMe, SAS, SATA, WiFi, Bluetooth, DFI, DDR/LPDDR, PCIe, Flash would be a strong plus
Programming skills: C, Verilog, System Verilog mandatory. C++ would be a strong plus.
Very good debugging and analytical skills
Should have good communication skills and should be a good team player
"
73,Catlayser,On Campus,"Physics, Chemistry, Mathematics, Social Science & Biology."
74,"L & T
(Through Placement Agency)"," Through Placement Agency 
enggwave","Good written & verbal communication skills & aptitude
Strong analytical and problem solving skills
Flexibility to learn & work across technologies, domains and across business locations as per project demand
Technical certifications will be an added advantage"
75,EHealthSource,On Campus,"Knowledge of PHP, MySQL.
Knowledge of CSS/Jquery
Knowledge of Photoshop added benefit
Knowledge of database designing.
Good Programming Logic.
Basic/Advanced knowledge of JavaScript, Ajax, Jquery.
Self-Learner and Self Motivated Person.
Team Player."
76,healthqik,On Campus,"	BE or MBA
Proficiency in MS Office
	Professional written and verbal communication skills
	Highly motivated, energetic and goal-oriented
	Self-starter with the ability to collaborate
	Must be willing to travel
	This position is based out of your home office"
77,brain point computer,On Campus,"MS-Office,Internet,C,C++ & Java Computer Faculty"
78,Devkrushna Infotech,On Campus,"Android / Java,iOS / Objective C / Java"
79,Matrix,"On Campus
Pooled Campus","SSC or 10th standard: 70% and above

    HSC or 12th standard: 60% and above

   Graduation CPI/CGPA: 7 and above"
80,Siemens,"Direct Recruitment
 PCCOE, Nigdi,Pune","C & C++,SSC or 10th standard: 70% and above

    HSC or 12th standard: 60% and above

   Graduation CPI/CGPA: 7 and above"
81,PlanetX Technologies,On Campus,"HTML5/CSS3, Angular JavaScript, JavaScript and Backend services like PHP (and PHP platforms), Ruby on Rails, Liquid and App development."
82,La Net Team Software Solution Pvt Ltd.,On Campus,"Dot net, PHP, IOS, Android, or any new technology   and Web  design"
83,Waaree,On Campus,"Good communication skill, Good knoweldge of computer, analytical skill"
84,"Torrecid, Vadodara",On Campus," Excellent communication (English- Mandatory)
 Excellent Technical Knowledge
 Commercial attitude
Should have leadership qualityExcellent Marketing Skills,CHEMICAL/CERAMIC/METALLURGY ENGINEER"
85,"YOU Broadband India Ltd
good opportunity - To be taken over by Vodaphone",On Campus," Database Oracle/MS SQL/Mysql,C/Java/JavaScriptP, Server/Client Side scripting
	Knowledge in Linux/Unix Operating system
	Good Self learning, understanding and logical, Communication skills
	Good Troubleshooting skills to solve issue in Application/Software"
86,Krtya softwares,On Campus,"ASP.Net , MVC , Web Developer "
87,"Risingwings Creative Pvt Ltd, Surat",On Campus,"Asp.net Web Developer
	 MySQL, MongoDB, SQLite, UI
	swift,Xcode,UI/UX
	WordPress Developer"
88,Berger Paints,"On Campus
and
Direct Recruitment","have Good Communication, Interpersonal & Analytical skills."
89,"Appitome Solutions, Surat",On Campus,"HTML, Css, Javascript/ JQuery,HTML-5, Css-3, Core PHP "
90,"Fountainhead School, Surat",On Campus,"knowledge of Miscrosoft .NET technologies, sql server, telerik controls, web-services, APIs, Jquery and HTML Technologies,Decent communication skills ,Good IT skills."
91,PicusTech,On Campus," Strong C/C++ and RTOS skills,Linux based embedded software development"
92,"Potenza Global Solutions, Surat",On Campus,"PHP, .net, mobile technology, good Knowledge of typography, and good Communication skills"
93,inkey solutions,On Campus,.net technology 
94,Elite Technocrats,On Campus,"ASP .net,MVC,Android,C++"
95,Triveni Global Software Services,On Campus,"Asp.Net MVC
 Linq
 Entity framework code first/design first
 Angular / Knockout
 Web Service / Web Api
 Asp.Net Identity / Owin
 SignalR
 CSS3/HTML5
 JQuery/JavaScript
Must have strong SQL Server - (back end)"
96,Vasundhara Vision,On Campus,"iOS Application & Game Developer
 Android Application & Game Developer 
 Ajax, jQuery, and MySQL,APIs, Unix/Linux, and MVC Framework Architecture,JavaScript, CSS, and HTML. 
 Graphics Designer 
 QA Tester "
97,JSPL Services Ltd.,On Campus,"A fresher can apply for this position
	Should have excellent English communication skill
	Ability to confidently interact with senior management and executives
	Motivation to exceed performance goals
	Excellent oral & written communication skills
	Growth mindset-acquire new skills with velocity
	A can-do attitude and a team player
	Have an analytical mindset
	Deliver flawless presentations
	Work with marketing on various outreach initiatives
	Network suavely
	Perform sales administration
Orchestrate lead generation initiatives with various functionsA fresher can apply for this position
	Should have excellent English communication skill
	Motivation to exceed performance goals
	Excellent oral & written communication skills
	A can-do attitude and a team player
	Deliver flawless presentations
	Work with marketing on various outreach initiatives
	Network suavely
"
98,Financial Software & Systems,Pooled,Knowledge of C & C++ or Java or .net 
99,Amdocs,Pooled,C/C++/Java)
100,Kahuna Systems,"Pooled Campus
&
On Campus","Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincation - Cloud & Mobile Application"
101,IBM,Pooled Campus,"Problem Solving,Contribution/Leadership ,"
102,"3DI, Pune",On Campus,"ADF , Java ,DOT NET  technology"
103,IT SHASTRA,On Campus," Punctual
 Communication skill
 English
 Basic Computer word, PowerPoint, Excel
 Learning Mind-set"
104,Park De Jaikras Web Technologies,On Campus,"Mobile Developers Skill: Java Script,JQueryMobile,Eclipse, IntelliJ IDEA, PhoneGap.Net Developer Skill: ASP.Net (3.5, 4.0), C#.Net, HTML, DHTML, CSS, SQL server 2008, .NET Web Applications, Ajax, Java Script, Jquery "
105,Deccan Chemicals,On Campus, CGPA above 7.5 
106,Bridge Services,On Campus,"Automobile, Mechanical & Electrical Preferred, Eletrical & Telecommunication,
Minimum of 60%"
107,Infosys,Direct Company Recruitment,"information technology, research, development, software engineering and outsourcing services."
108,Technotech,On Campus,"Ajax, jQuery, and MySQL,APIs, Unix/Linux, and MVC Framework Architecture,JavaScript, CSS, and HTML.s"
109,"BosLeo Technology, Valsad",On Campus,"iOS, Android and PHP, CodeIgnitor or Laravel framework"
110,Verve Systems,"On Campus /
Walking at Ahmedabad on 17th Dec",".Net, PHP, mobile tchnology(android, ios)"
111,The One Technologies,On Campus,"ASP.Net MVC
 ASP.Net Web Forms
 VB.Net / C#.Net
 Microsoft SharePoint
 Microsoft Sql Server
 Microsoft Silverlight
 Enterprise library
WCF / Web API services
 Azure Cloud
Mobile TechnologiesPHP
 Joomla
 Wordpress
 Drupal
 osCommerce
 Magento
 Zen cart  Development Methodologies
Agile Methodology
Scrum Methodology"
112,CBS Software Pvt. Ltd.,On Campus,"C# .Net Programming, Visual Studio, SQL and T-SQL, MVC Architecture & Crystal Report"
113,Softices,On Campus,"C and C++, algorithms, Ruby on Rails),Android,iOS and UX/UI design "
114,Xploit Infotech Limited,On Campus,Communication skills
115,Kotak Mahindra Bank,On Campus, Kotak Sales Officer 
116,AIW Consulting,On Campus,"Artificial Intelligence,.Net,Android and iOS,OOP’s concepts, good logical reasoning, C# and MS SQL, HTML and JavaScript"
117,Suzalkem Technologies Pvt Ltd,On Campus,Sales & Marketing Executive
118,Malay Infotech Pvt. Ltd,On Campus,"C#.Net 3.0/4.0/4.5, ASP.NET, ADO.NET, Linq, MVC, JQuery,web applications and web services in Microsoft Visual Studio,CSS, HTML, AJAX, XML, XML Schema, and JavaScript"
119,Naaptol,Off Campus,"Java, Core Java, JavaScriptP, Servlet, JQuery,CSS, HTML, Java Script, MYSQL Database Knowledge,Good Aptitude, analytical and problem solving skills are necessary
Knowledge of hibernate, eclipse"
120,Agilecube Technologies PVT Ltd,On Campus,".Net, Web services,agile development,angular js,MVC,"
121,Triforce Inc,On Campus,"Graduates and Post Graduates, Good team player ,Good communicator & Rapport builder ,Strategic thinker & planner,eadership qualities 
"
122,3d PLM,Direct Company Recruitment,"CAD and PLM products like CATIA, ENOVIA, SMARTEAM and MatrixOne at 3DPLM,functional domain knowledge in Mechanical/Production/Automobile/Electrical.
Knowledge of Testing-Agile
Good Problem Solving & Analytical Skills
Good Communication Skills"
123,Tata Steel,Direct Company Recruitment,Assistant Engineer Trainee – AET 
124,Shahlon,On Campus,"HARD WORK,TECHNICAL KNOWLEDGE ,GOOD COMMUNICATIONS SKILLS,GETTER ATTITUDE, STRONG MANAGEMENT ABILITY"
125,Sassy Infotech,On Campus,"Web Developer, PHP frameworks,CodeIgnitor , Magento and Wordpress"
126,WinR Tech,On Campus,"HTML5, CSS3, Javascript,SAAS,Angular, React , UI/Ux for prototype design, RESTful APIs and RPC,AJAX,Unit Testing,problem solving skill"
127,Sancraft Pvt. Ltd.,On Campus,"Core PHP, C, C++, Data Structures, Laravel MVC knowledge ,Good knowledge & Hands on experience of HTML, JavaScript, XML, CSS, Ajax and Database (MySQL)"
128,Pleasant Inc,On Campus,"Vb. Net, c#. Net, Asp. Net, Java Script, HTML, AJAX, SQL Server, visual studio 2010
"
129,Webxpress,On Campus,.NET technologies
130,ICICI StockMind Students Competition,On Campus,"  Analytical Thinking
        Quick Thinking
        Decision Making
        Problem Solving"
